order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  283	 106	50.6	  35.5115	 3.2804
 1	  247	 104	45.7	  35.4514	 3.1183
 2	  345	  96	49.3	  35.4663	 2.9436
 3	  422	  96	47.1	  35.7636	 3.1240
 4	  500	 113	47.5	  35.6144	 3.2422
 5	  506	 114	40.9	  35.3866	 2.9971
 6	  630	 103	44.4	  35.5453	 2.8861
 7	  692	 114	38.4	  35.4347	 2.7016
 8	 1120	 125	48.6	  35.4706	 2.9836
 9	 1250	 123	50.0	  35.5332	 3.2092
10	 1343	 120	46.0	  35.5914	 2.9321
11	 1524	 112	52.0	  35.5915	 3.1610
12	 1653	 115	47.2	  35.5978	 2.9901
13	 1871	 121	45.4	  35.5551	 2.8760
14	 1915	 115	48.4	  35.5008	 3.1712
15	 2160	 113	50.4	  35.5536	 3.2991
16	 2169	 108	50.6	  35.4885	 3.3955
17	 2419	 100	47.0	  35.3847	 3.9617
18	 2334	 111	47.4	  35.4147	 3.3288
19	 2351	 102	44.4	  35.6358	 2.9296
20	 2929	  88	39.8	  35.6104	 2.8200
21	 3176	  91	42.3	  35.5586	 3.0045
22	 3411	 102	42.1	  35.5197	 2.9528
23	 3870	 111	46.7	  35.4966	 3.1085
24	 4112	 107	48.3	  35.5532	 3.1025
25	 4501	  89	42.8	  35.5851	 3.0076
26	 4853	  92	45.2	  35.5721	 3.0217
27	 4811	  81	44.1	  35.6386	 3.3338
28	 5331	  67	46.9	  35.5631	 3.2522
29	 5653	  68	44.4	  35.5220	 2.9979
30	 5712	  77	36.7	  35.6557	 2.9231
31	 5713	  73	39.9	  35.5182	 3.1784
32	 5923	  68	42.9	  35.5560	 3.0962
33	 6048	  68	40.9	  35.5532	 2.8703
34	 6263	  74	35.6	  35.6057	 3.0403
35	 5998	  79	36.7	  35.5715	 3.0836
36	 5994	  70	45.7	  35.5513	 3.2217
37	 7028	  55	49.7	  35.5136	 3.4101
38	 7180	  64	46.0	  35.5563	 2.9780
39	 7371	  85	46.3	  35.5205	 3.2379
40	 6909	  67	44.1	  35.4578	 3.1552
41	 7487	  67	43.8	  35.4888	 3.1645
42	 7615	  80	43.2	  35.5281	 3.0221
43	 7506	  60	49.3	  35.5399	 3.8428
44	 8293	  73	44.5	  35.5705	 3.1752
45	 8265	  74	44.0	  35.5275	 3.4659
46	 8163	  43	49.6	  35.5209	 3.7937
47	 8947	  59	44.7	  35.5447	 3.7971
48	 8101	  48	39.4	  35.4772	 3.0602
49	 9228	  52	35.3	  35.5163	 3.3899
50	 8600	  40	42.3	  35.4724	 3.5584
51	 8480	  47	40.8	  35.3953	 3.7090
52	 9283	  60	31.0	  35.4801	 2.8669
53	 9669	  42	33.5	  35.6376	 3.2010
54	 9908	  40	28.6	  35.5684	 2.9714
55	 8183	  30	25.9	  35.5360	 2.8874
56	 8377	  13	36.4	  35.4892	 2.9618
57	    0	   0	 0.0	   0.0000	 0.0000
58	 9976	  17	42.6	  35.4632	 3.4873
59	 9461	  23	34.4	  35.5268	 3.2515
60	10902	  47	37.6	  35.5041	 3.2639
61	12334	  41	38.7	  35.4993	 3.1078
62	12944	  48	36.7	  35.4850	 3.2296
63	 8586	   7	36.4	  35.5471	 3.1241
64	12202	  31	29.5	  35.4418	 3.1201
65	13706	  25	44.4	  35.5398	 3.3816
66	    0	   0	 0.0	   0.0000	 0.0000
67	 9822	   5	26.4	  35.4657	 2.9123
68	13966	  23	29.8	  35.4845	 2.9662
69	13630	  32	22.3	  35.5101	 3.1936
70	13477	  19	21.5	  35.5279	 2.9898
71	    0	   0	 0.0	   0.0000	 0.0000
